"node","estimate","p"
"1",0.00217047013407669,0.197060925079032
"2",0.00699090615590889,0.156190890020421
"3",0.00725810417124863,0.00525042597765173
"4",0.00773708314563295,0.0472429794978884
"5",0.00849203062438717,0.0364462817852768
"6",0.0054726378089696,0.0591507196361198
"7",0.0156830539977555,0.000171367512841462
"8",0.0141335842886881,0.000566514301994647
"9",0.0116765549051411,0.0131193377854172
"10",-0.00277253224274616,0.362241759482427
"11",7.04204560511922e-05,0.975742079848904
"12",0.00212313641998301,0.550953606573787
"13",0.00394737975109345,0.202424387667902
"14",0.00536102346753393,0.0525566768838003
"15",0.0109337623572003,0.00444569355425184
"16",0.0103773456184389,0.00819333852103749
"17",0.0161702859861803,0.000189309999037978
"18",0.0177687746847395,5.37378062721504e-05
"19",0.00938860006480589,0.0114667433542701
"20",0.0265467188781578,1.05253065245186e-07
"21",0.010918755294783,0.0104147524908209
"22",0.0177119425789692,2.62413789362743e-05
"23",0.00848373875835772,0.00724651150692957
"24",0.0237411345930279,0.000105080518867023
"25",0.00544838193270701,0.0059783729854094
"26",0.00736987022094197,0.00598551621949883
"27",0.0149032240439335,0.000148270156085476
"28",0.00885922942123762,0.0326806968721189
"29",0.0087619498631549,0.0115236696518203
"30",0.0039940287262598,0.37125748266044
"31",0.000439038353772924,0.801988212941771
"32",-0.000334581772682551,0.807255243696474
"33",0.0100241047414597,0.000919657990283726
"34",0.0254646851438818,1.50632064079344e-07
"35",0.0164913474113753,1.20711679345069e-05
"36",0.0199583389307825,0.00054389153904395
"37",0.0115603883218569,0.000562105201650213
"38",0.00190132938589931,0.40836355703016
"39",0.00139323379446512,0.740624916829087
"40",0.00648518203019656,0.189518845223774
"41",0.0272015428544575,4.47462432331166e-07
"42",0.0069318185860175,0.004208655614452
"43",0.0077352643068717,0.025254532622095
"44",0.0129079755944767,0.00521954096285965
"45",0.009696525656811,0.000785637327551821
"46",0.0151420979595583,0.00235607044801284
"47",0.0168647586178414,2.74715790494877e-06
"48",0.012219344330331,0.000590504375403605
"49",0.00348316341595926,0.258390944172831
"50",0.0184945773945938,1.55576260457849e-05
"51",0.00361951782585824,0.0630823744473814
"52",0.00529353561778332,0.0898238557000535
"53",0.00990536248803065,0.00283775740516413
"54",0.0072649866144358,0.0301899743200434
"55",0.00676402250482549,0.0335342895065689
"56",0.00420987672172333,0.0810575806425784
"57",0.0104490952618753,0.0123211695439777
"58",0.0124409096486383,0.00269812584910354
"59",0.00126647004804821,0.641070762116039
"60",0.00293835452207297,0.179934276764645
"61",0.00356424623101762,0.341876727525234
"62",0.00434573979673374,0.259977641910906
"63",0.0074454872606577,0.0829178257562671
"64",-0.000427420859907748,0.910506127728587
"65",0.00559347045074358,0.0863441882488667
"66",0.00865299746954612,0.023365130187457
"67",0.0212311341315742,2.29768582111109e-06
"68",0.00688499855004864,0.039914579466287
"69",0.0146723879521644,0.000688082408059382
"70",0.0227156130080417,1.64405185247308e-05
"71",0.0207761018147972,0.000285511975713652
"72",0.020714955223603,4.54783444914881e-06
"73",0.0108736672735807,0.00274919491037759
"74",0.0168210221984431,0.00151387505784943
"75",0.0158328987190703,0.000248749431881865
"76",0.0071134684792733,0.0154997925996021
"77",0.00638174148398067,0.0104386488273065
"78",0.00726629808251821,0.0464533750960443
"79",0.00639995779401817,0.00244957452072222
"80",0.0025784471520258,0.033770495650216
"81",0.0220121147241575,4.55723087579648e-05
"82",0.0268280649016751,8.8276425972827e-07
"83",0.0126996330525482,4.71773159054875e-06
"84",0.0194849541586198,3.64373010765222e-05
"85",0.0146374557164149,0.0027180330246784
"86",0.0264442700990098,1.14225954022909e-06
"87",0.0100664887875386,0.000207158400750417
"88",0.00582442942250386,0.107262081813941
"89",0.0207738569713557,1.05735427135418e-05
"90",0.0302421741667079,9.82718694150785e-08
"91",0.00867087587660681,0.00221665907814988
"92",0.00101508631789835,0.634265471542909
"93",0.00479550838393368,0.299096605487013
"94",0.00414550649742589,0.0535179421277614
"95",0.0152420128158996,0.00162622666183938
"96",0.012219735398499,0.00182642196407778
"97",0.0200995590551853,7.43871441608158e-05
"98",0.0131218929223055,0.000532642195855268
"99",0.00476744618559158,0.119762468673366
"100",0.015578537410252,2.1085958269435e-05
"hippocampus_L",0.0065386142147494,0.000228372667814359
"hippocampus_R",0.00576302954701276,0.0404575517354445
