"node","_Intercept__estimate","_Intercept__p_value"
"1",0.0842336697414846,0.0280383847453819
"2",0.174536593521177,0.111749243086624
"3",0.0928452441443884,0.0518073937934258
"4",0.109837112945885,0.0775978170604733
"5",0.0666153346205768,0.30829579867263
"6",0.0575639769280832,0.34083279628687
"7",0.0758292950453748,0.134389798461167
"8",0.0927432784438773,0.0856626444325893
"9",0.047170136905752,0.407171382195813
"10",0.115081303954467,0.0229630966287504
"11",0.0432394322941077,0.57267245120153
"12",0.0914861136335544,0.0475075284489686
"13",-0.00442575575863662,0.963157111924665
"14",0.0458204419503707,0.32713403587331
"15",0.0382659773585963,0.56165963406041
"16",0.116769937611738,0.133753613587299
"17",-0.0242854266257851,0.635691408403756
"18",0.0133081192035066,0.802701839467392
"19",-0.0273504637010343,0.61672330122736
"20",0.0590216203604917,0.426700684738947
"21",0.00925935853693919,0.851402999714744
"22",0.102053347504865,0.0310368268223266
"23",0.0860101044880953,0.209822698932963
"24",0.159940843358287,0.00570450211678116
"25",0.000811593210313743,0.982165030599441
"26",0.0722439909949043,0.389926772293455
"27",0.0520568008351584,0.540963624365157
"28",0.0546460894579169,0.661600922699021
"29",0.111034906025709,0.0267173960852374
"30",0.0129909569117447,0.841199443126617
"31",0.0457944574534195,0.497076690991693
"32",-0.0149222556466717,0.726630506678855
"33",0.0248212659826389,0.796337435201926
"34",0.0554587872038983,0.347845712116662
"35",0.0750901846230202,0.167479692461642
"36",-0.0273697710091603,0.751787990712158
"37",0.00374474288088829,0.943901447889928
"38",0.113766144714271,0.282328677248574
"39",0.140268184613196,0.253450346976688
"40",0.269473384901016,2.86201959235792e-07
"41",0.154813107319124,0.0892332535465453
"42",0.0425949164780065,0.32346897230217
"43",0.0980017192194834,0.347053051231065
"44",0.0371974201119745,0.738336158319826
"45",0.0633672799798875,0.11090107807018
"46",0.0864756402809545,0.451131499190131
"47",0.130132405698376,0.0154158370608459
"48",0.141390338291724,0.00505363155724572
"49",0.0296910352359522,0.612487987212187
"50",0.00761864539531585,0.962205062482084
"51",0.0897831219697931,0.204326476665528
"52",0.130996430370059,0.332563390477056
"53",0.0945245681216718,0.0668478474837217
"54",0.0874541479186689,0.120777242052081
"55",0.0220024109709621,0.682791622382621
"56",0.123943543012475,0.0146044660974854
"57",0.0511587107400977,0.304891976539182
"58",0.0880302407659535,0.0918653855036312
"59",0.064323180627027,0.122484656718936
"60",0.00348198601862984,0.961740282589669
"61",-0.00599939277564049,0.915400623943362
"62",0.00364280319119564,0.977418802539219
"63",-0.0210727906123423,0.882475354852297
"64",-0.0503950371334938,0.508033666004936
"65",0.0372442521614224,0.492270075228844
"66",-0.0336026467864482,0.751913145079297
"67",0.129736125196878,0.00393226814940283
"68",-0.00834131688641617,0.859238893133649
"69",0.00864152751458077,0.893160281383148
"70",0.0566525712005251,0.54599762290079
"71",0.0171288478105961,0.746286338126847
"72",0.0501464531123339,0.316975873982827
"73",0.0167917112558759,0.839272741881761
"74",0.23642201673594,9.88958665750527e-05
"75",0.0267405283602696,0.625834977269496
"76",0.0613498767434767,0.485180086434959
"77",-0.0079412175270665,0.845329071277277
"78",-0.00692846343112345,0.932971220495728
"79",0.0529706057780488,0.506466079711032
"80",0.0282554753351461,0.747683644859465
"81",0.106537044027355,0.0522083936258806
"82",0.106630188848333,0.370581434554355
"83",0.074683317749046,0.0471606442119952
"84",0.0734484078198354,0.176351256918942
"85",0.0556074308921237,0.620619737097868
"86",0.0615475148223638,0.630502909818518
"87",0.00279548638649355,0.973805054551943
"88",0.0532366511934724,0.67183383093422
"89",0.0144902238106477,0.928859111334228
"90",0.130316534440115,0.434406684948941
"91",0.0587583206693813,0.556884515599684
"92",0.104106871862766,0.363369162470641
"93",0.167234560161085,0.00743669758096942
"94",0.0175342896800051,0.666526941687
"95",0.0700359164568808,0.609431994653896
"96",0.00197724938508195,0.981550235258161
"97",0.0760834134000869,0.421022428666411
"98",0.120500014905087,0.0080575420598147
"99",0.0802636252925157,0.150256212956075
"100",0.0575494600474643,0.679685064982271
"hippocampus_L",0.0109151154051905,0.806103920915822
"hippocampus_R",-0.0133723920961449,0.724563756453252
